kernel;c_value;gamma;degree;coef0;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;accuracy_mean;accuracy_std;data_count
poly;0.1;scale;6;0;0.9802533333333333;0.02011328156313871;0.97512;0.030109068401396936;0.9773200000000001;0.017318990402775458;0.9838933333333333;0.01176808436083841;15
poly;0.1;scale;6;1;0.98914;0.008025032265177673;0.9887133333333333;0.009226968753656457;0.9889133333333333;0.00842647754459264;0.9920866666666667;0.005799737268269351;15
poly;0.1;scale;6;10;0.98932;0.007919433601680653;0.9889933333333333;0.008856592916874883;0.9891533333333334;0.00823345671779536;0.99224;0.005680895301673093;15
poly;0.1;scale;6;100;0.9892066666666667;0.0080352319431957;0.98888;0.00896080353539792;0.9890466666666666;0.008322591171595766;0.9921666666666666;0.005742904524798598;15
poly;1.0;0.1;1;0;0.9836333333333334;0.011863308781199901;0.9816933333333334;0.017559143595560822;0.9825866666666666;0.01256633067632181;0.9876066666666666;0.008749650333149393;15
poly;1.0;0.1;1;1;0.9834666666666667;0.012114021785085425;0.9815266666666667;0.017760890689806016;0.9824333333333333;0.012783564597150646;0.9875;0.008871785132011027;15
poly;1.0;0.1;1;10;0.9834533333333333;0.012096272546690144;0.98152;0.017759110338077193;0.98242;0.012777055328092715;0.9874866666666667;0.008867586776462676;15
poly;1.0;0.1;1;100;0.98344;0.012092606950411602;0.9815133333333333;0.01773724357175627;0.9824066666666667;0.012787408241070943;0.98748;0.008872767324797855;15
poly;1.0;0.1;2;1;0.98624;0.010567929922986007;0.9847;0.014581397150381124;0.98544;0.011057692861920676;0.9895933333333333;0.007609342628512352;15
poly;1.0;0.1;2;10;0.9883933333333333;0.00869839613021246;0.9869800000000001;0.012795378630025545;0.9876400000000001;0.009051424512986126;0.9912133333333333;0.006281135778397628;15
poly;1.0;0.1;2;100;0.9879333333333334;0.008150781440772296;0.9868466666666666;0.012214678913192162;0.98736;0.008894926322669233;0.9910066666666667;0.006257962546875419;15
poly;1.0;0.1;3;1;0.9870333333333333;0.009726448967830433;0.9857666666666667;0.013085852047517721;0.9863866666666666;0.010320566614197849;0.9902666666666667;0.007121764093925311;15
poly;1.0;0.1;3;10;0.9884799999999999;0.008169909948795557;0.9879;0.01021567423129772;0.98818;0.008814695521846298;0.99156;0.006095408107747997;15
poly;1.0;0.1;3;100;0.98836;0.008450173286473394;0.98776;0.0103966890333963;0.9880533333333333;0.009018145728527143;0.9914666666666666;0.006232365598420938;15
poly;1.0;0.1;4;1;0.9871333333333333;0.009403317550331955;0.98622;0.012033417754617465;0.98666;0.010080306117800785;0.9904666666666666;0.006955025589628045;15
poly;1.0;0.1;4;10;0.9888666666666667;0.008183141788079282;0.9885533333333334;0.00926304999652357;0.98872;0.008563894307748437;0.99192;0.00592129329502553;15
poly;1.0;0.1;4;100;0.98844;0.008419093945142961;0.9878266666666666;0.010303221872423263;0.9881266666666666;0.008982082694108856;0.9915066666666666;0.006208688228910325;15
poly;1.0;0.1;5;1;0.98746;0.009100062794131862;0.98662;0.011535980978783607;0.9870266666666667;0.009777413232742579;0.9907266666666666;0.006747747419553828;15
poly;1.0;0.1;5;10;0.9890133333333334;0.008160170399714766;0.9887866666666666;0.008970098475862264;0.9889066666666667;0.00843965695533945;0.9920533333333333;0.0058410941571233835;15
